,area_type,availability,location,size,total_sqft,bath,balcony,price
1767,Super built-up  Area,Ready To Move,Jigani,2 BHK,927.0,2.0,2.0,55.0
1768,Super built-up  Area,Ready To Move,P&T Layout,2 BHK,1242.0,2.0,3.0,39.7
1769,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1220.0,3.0,1.0,35.23
1770,Built-up  Area,Ready To Move,Electronic City,3 BHK,1360.0,2.0,1.0,75.0
1771,Plot  Area,Ready To Move,Brookefield,4 Bedroom,2800.0,4.0,2.0,240.0
1772,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180.0,2.0,2.0,72.0
1773,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1697.0,3.0,2.0,108.0
1774,Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,550.0,2.0,1.0,26.0
1775,Super built-up  Area,Ready To Move,Hennur,2 BHK,1225.0,2.0,1.0,57.0
1776,Super built-up  Area,Ready To Move,Byrasandra,3 BHK,1690.0,2.0,2.0,55.0
1777,Plot  Area,18-Apr,SBM Colony,10 Bedroom,1660.0,10.0,0.0,475.0
1778,Super built-up  Area,Ready To Move,Veerannapalya,3 BHK,1488.0,3.0,0.0,57.0
1779,Built-up  Area,Ready To Move,Chowdeshwari Layout,3 BHK,1250.0,2.0,1.0,80.0
1780,Super built-up  Area,Ready To Move,JP Nagar,1 BHK,1050.0,1.0,1.0,44.0
1781,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1027.0,2.0,2.0,44.0
1782,Super built-up  Area,21-May,Kanakpura Road,3 BHK,1699.0,3.0,3.0,81.94
1783,Built-up  Area,Ready To Move,Whitefield,2 BHK,1205.0,2.0,2.0,58.0
1784,Plot  Area,Ready To Move,Mathikere Extension,4 Bedroom,712.0,2.0,1.0,67.5
1785,Super built-up  Area,18-Feb,Horamavu Agara,2 BHK,950.0,2.0,3.0,39.0
1786,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200.0,2.0,0.0,70.0
1787,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1476.0,3.0,1.0,120.0
1788,Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1070.0,2.0,1.0,55.0
1789,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2160.0,4.0,2.0,172.0
1790,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,1296.0,2.0,1.0,75.0
1791,Built-up  Area,Ready To Move,Chikkalasandra,2 Bedroom,1800.0,1.0,1.0,128.0
1792,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570.0,3.0,3.0,64.5
1793,Super built-up  Area,Ready To Move,Koramangala,2 BHK,1300.0,2.0,3.0,110.0
1794,Built-up  Area,Ready To Move,Sarjapur,4 BHK,1550.0,2.0,2.0,65.0
1795,Super built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1.0,1.0,40.0
1796,Built-up  Area,Ready To Move,Jalahalli,3 BHK,1870.0,3.0,0.0,110.0
1797,Plot  Area,Ready To Move,Anantapura,3 Bedroom,1650.0,4.0,0.0,160.0
1798,Super built-up  Area,Ready To Move,Domlur,3 BHK,1429.0,3.0,3.0,86.0
1799,Super built-up  Area,17-Nov,Babusapalaya,3 BHK,1167.0,2.0,2.0,39.98
1800,Super built-up  Area,18-May,Bommasandra,2 BHK,1035.0,2.0,1.0,41.73
1801,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1188.0,2.0,2.0,38.0
1802,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,2.0,285.0
1803,Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,884.0,2.0,2.0,36.0
1804,Super built-up  Area,19-Dec,Hoodi,2 BHK,1026.0,2.0,1.0,60.87
1805,Plot  Area,Ready To Move,Shivaji Nagar,7 Bedroom,1400.0,6.0,3.0,200.0
1806,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1115.0,2.0,2.0,50.0
1807,Plot  Area,Ready To Move,Hebbal Kempapura,2 Bedroom,1200.0,2.0,1.0,125.0
1808,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,2690.0,4.0,3.0,191.0
1809,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975.0,2.0,1.0,58.0
1810,Plot  Area,Ready To Move,Hosa Road,3 Bedroom,675.0,3.0,2.0,72.5
1811,Super built-up  Area,Ready To Move,Chamrajpet,4 BHK,1900.0,2.0,1.0,170.0
1812,Plot  Area,17-Dec,Banashankari,3 Bedroom,600.0,3.0,1.0,100.0
1813,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1101.0,2.0,2.0,65.5
1814,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1700.0,3.0,3.0,135.0
1815,Super built-up  Area,Ready To Move,Whitefield,4 BHK,3606.0,4.0,2.0,312.0
1816,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1258.0,2.0,2.0,115.0
1817,Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1560.0,3.0,0.0,92.0
1818,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3630.0,6.0,1.0,195.0
1819,Built-up  Area,Ready To Move,JP Nagar,3 BHK,2000.0,3.0,2.0,250.0
1820,Super built-up  Area,19-Jun,Hebbal,4 BHK,2790.0,4.0,3.0,198.0
1821,Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1494.0,2.0,2.0,94.55
1822,Super built-up  Area,18-Oct,Hennur Road,3 BHK,1482.0,2.0,1.0,87.0
1823,Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,800.0,2.0,3.0,50.0
1824,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,2.0,47.39
1825,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1100.0,2.0,2.0,71.5
1826,Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,1300.0,2.0,0.0,120.0
1827,Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1225.0,2.0,2.0,150.0
1828,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1758.0,3.0,2.0,65.0
1829,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1145.0,2.0,2.0,55.0
1830,Built-up  Area,Ready To Move,Hormavu,2 BHK,1180.0,2.0,2.0,50.0
1831,Super built-up  Area,Ready To Move,Belatur,2 BHK,1260.0,2.0,2.0,58.0
1832,Super built-up  Area,19-Jun,Yelahanka,4 BHK,3461.0,2.0,0.0,173.0
1833,Built-up  Area,Ready To Move,Arekere,2 BHK,1190.0,2.0,2.0,55.0
1834,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691.0,3.0,2.0,119.0
1835,Super built-up  Area,18-Dec,Lalbagh Road,4 BHK,3675.0,4.0,3.0,367.0
1836,Built-up  Area,Ready To Move,Frazer Town,3 BHK,1305.0,3.0,0.0,95.45
1837,Super built-up  Area,18-Apr,Basavangudi,3 BHK,2337.0,4.0,3.0,292.0
1838,Plot  Area,Ready To Move,Kamakya Layout,2 Bedroom,1200.0,2.0,2.0,150.0
1839,Super built-up  Area,20-Dec,Domlur,2 BHK,1206.0,2.0,1.0,217.0
1840,Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,1350.0,4.0,1.0,130.0
1841,Super built-up  Area,Ready To Move,Kogilu,2 BHK,1140.0,2.0,1.0,50.66
1842,Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,1250.0,2.0,2.0,65.0
1843,Plot  Area,Ready To Move,Kamakshipalya,3 Bedroom,600.0,2.0,1.0,60.0
1844,Super built-up  Area,18-Aug,Chinnapanahalli,2 BHK,1225.0,2.0,2.0,48.0
1845,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,800.0,2.0,2.0,28.0
1846,Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,1020.0,2.0,1.0,58.0
1847,Built-up  Area,Ready To Move,TC Palaya,4 Bedroom,2100.0,2.0,1.0,50.0
1848,Plot  Area,Ready To Move,Lingarajapuram,2 Bedroom,1350.0,2.0,1.0,80.0
1849,Super built-up  Area,Ready To Move,Anekal,2 BHK,925.0,2.0,1.0,40.0
1850,Built-up  Area,Ready To Move,Yelachenahalli,4 Bedroom,1800.0,3.0,1.0,220.0
1851,Built-up  Area,Ready To Move,3rd Block HBR Layout,3 Bedroom,2000.0,3.0,1.0,100.0
1852,Built-up  Area,Ready To Move,Frazer Town,3 BHK,1510.0,2.0,1.0,75.0
1853,Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,5800.0,7.0,0.0,1200.0
1854,Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3 BHK,1614.0,3.0,1.0,110.0
1855,Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,682.0,2.0,1.0,130.0
1856,Plot  Area,Ready To Move,Gottigere,2 Bedroom,1200.0,2.0,0.0,95.0
1857,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900.0,2.0,0.0,55.0
1858,Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,1632.0,3.0,0.0,145.0
1859,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1041.0,2.0,2.0,65.5
1860,Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,5080.0,7.0,0.0,450.0
1861,Super built-up  Area,18-Jul,Bannerghatta,4 BHK,3012.0,6.0,2.0,250.0
1862,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1530.0,3.0,2.0,74.5
1863,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1450.0,2.0,2.0,135.0
1864,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1200.0,2.0,2.0,75.0
1865,Plot  Area,Ready To Move,Sahakara Nagar,4 Bedroom,1200.0,4.0,0.0,130.0
1866,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1508.0,2.0,1.0,110.0
1867,Built-up  Area,Ready To Move,New Gurappana Palya,7 BHK,600.0,7.0,3.0,106.0
1868,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1188.0,2.0,3.0,73.0
1869,Super built-up  Area,18-May,Old Airport Road,4 BHK,2690.0,4.0,3.0,199.0
1870,Super built-up  Area,Ready To Move,Harlur,2 BHK,1174.0,2.0,1.0,76.0
1871,Super built-up  Area,19-Dec,Old Madras Road,3 BHK,1350.0,3.0,1.0,58.99
1872,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1870.0,3.0,3.0,185.0
1873,Super built-up  Area,18-Jun,Kengeri Satellite Town,2 BHK,1072.0,2.0,1.0,25.0
1874,Plot  Area,Ready To Move,Nelamangala,3 Bedroom,52272.0,2.0,1.0,140.0
1875,Super built-up  Area,18-Nov,Kengeri,2 BHK,726.0,2.0,1.0,31.0
1876,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1345.0,2.0,2.0,106.0
1877,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,45.0
1878,Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,980.0,2.0,0.0,37.0
1879,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1050.0,2.0,1.0,77.0
1880,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,993.0,2.0,1.0,39.71
1881,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300.0,2.0,2.0,52.0
1882,Super built-up  Area,Ready To Move,Vittasandra,3 BHK,1743.0,3.0,2.0,85.0
1883,Plot  Area,Ready To Move,Whitefield,4 Bedroom,1204.0,4.0,1.0,125.0
1884,Plot  Area,Ready To Move,Hormavu,2 Bedroom,1200.0,2.0,0.0,67.0
1885,Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480.0,3.0,2.0,90.0
1886,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,950.0,2.0,2.0,32.5
1887,Built-up  Area,Ready To Move,Domlur,1 BHK,640.0,1.0,0.0,55.0
1888,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,972.0,2.0,1.0,44.0
1889,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1840.0,3.0,3.0,98.0
1890,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1128.0,2.0,1.0,64.0
1891,Plot  Area,Ready To Move,Hongasandra,2 Bedroom,680.0,2.0,0.0,42.0
1892,Plot  Area,Ready To Move,Harappanahalli,2 Bedroom,2400.0,2.0,1.0,95.0
1893,Built-up  Area,Ready To Move,Basapura,2 BHK,1045.0,2.0,2.0,42.0
1894,Built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,955.0,2.0,3.0,53.55
1895,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1360.0,2.0,2.0,54.39
1896,Super built-up  Area,Ready To Move,BTM Layout,2 BHK,1150.0,2.0,2.0,63.0
1897,Built-up  Area,19-Mar,Hennur Road,4 Bedroom,3450.0,4.0,3.0,294.0
1898,Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,1115.0,2.0,2.0,56.87
1899,Super built-up  Area,Ready To Move,Jigani,2 BHK,920.0,2.0,2.0,46.0
1900,Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,1030.0,2.0,1.0,41.0
1901,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1564.0,3.0,1.0,101.0
1902,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1045.0,2.0,1.0,45.0
1903,Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,1200.0,4.0,1.0,83.0
1904,Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1277.0,2.0,2.0,55.0
1905,Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,2479.13,3.0,1.0,215.0
1906,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1846.0,3.0,2.0,140.0
1907,Built-up  Area,Ready To Move,Tasker Town,2 BHK,1100.0,2.0,0.0,106.0
1908,Super built-up  Area,Ready To Move,Govindpura,3 BHK,1690.0,3.0,0.0,75.0
1909,Plot  Area,17-Jul,Hormavu,2 Bedroom,1200.0,3.0,0.0,70.0
1910,Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,3042.0,4.0,0.0,131.0
1911,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,3.0,223.0
1912,Built-up  Area,19-Mar,NR Colony,2 BHK,1068.0,2.0,1.0,40.05
1913,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1135.0,2.0,2.0,58.0
1914,Super built-up  Area,Ready To Move,Agara Village,3 BHK,1925.0,3.0,2.0,120.0
1915,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615.0,3.0,2.0,60.0
1916,Super built-up  Area,Ready To Move,Shettigere,1 BHK,650.0,1.0,1.0,26.0
1917,Plot  Area,Ready To Move,Chikkasandra,9 Bedroom,1200.0,9.0,3.0,120.0
1918,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1150.0,2.0,3.0,42.0
1919,Plot  Area,Ready To Move,Kothannur,6 Bedroom,930.0,6.0,1.0,135.0
1920,Super built-up  Area,18-Mar,Kenchanehalli R R Nagar,3 BHK,1410.0,2.0,2.0,45.12
1921,Built-up  Area,Ready To Move,6th Phase JP Nagar,3 Bedroom,600.0,2.0,0.0,100.0
1922,Super built-up  Area,18-Apr,Kumara Park,3 BHK,2000.0,3.0,3.0,207.0
1923,Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1354.0,3.0,1.0,90.0
1924,Plot  Area,Ready To Move,BEL Road,2 Bedroom,1050.0,2.0,0.0,110.0
1925,Built-up  Area,Ready To Move,Arekere,1 BHK,600.0,1.0,1.0,28.0
1926,Plot  Area,Ready To Move,Varthur,4 Bedroom,1320.0,2.0,1.0,110.0
1927,Super built-up  Area,18-May,Koramangala,3 BHK,1600.0,3.0,2.0,88.0
1928,Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,3500.0,6.0,2.0,225.0
1929,Super built-up  Area,Ready To Move,GM Palaya,2 BHK,1000.0,2.0,1.0,36.0
1930,Super built-up  Area,Ready To Move,Byagadadhenahalli,3 BHK,1130.0,3.0,1.0,38.0
1931,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1238.0,2.0,1.0,67.0
1932,Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,2204.0,2.0,3.0,305.0
1933,Plot  Area,Ready To Move,KR Puram,8 Bedroom,1200.0,12.0,0.0,110.0
1934,Super built-up  Area,18-Apr,Kudlu Gate,3 BHK,1364.0,2.0,3.0,46.38
1935,Built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,900.0,2.0,1.0,45.0
1936,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745.0,3.0,2.0,104.0
1937,Super built-up  Area,Ready To Move,Kogilu,2 BHK,1200.0,2.0,1.0,53.33
1938,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1020.0,2.0,1.0,42.83
1939,Super built-up  Area,18-Dec,Banashankari Stage III,3 BHK,1650.0,3.0,2.0,118.0
1940,Super built-up  Area,Ready To Move,Doddabommasandra,3 BHK,1550.0,2.0,3.0,70.0
1941,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440.0,2.0,2.0,60.0
1942,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1329.0,2.0,2.0,45.95
1943,Super built-up  Area,Ready To Move,Maruthi Layout,2 BHK,916.0,2.0,1.0,42.0
1944,Super built-up  Area,Ready To Move,Hulimavu,1 BHK,688.0,1.0,2.0,50.0
1945,Super built-up  Area,Ready To Move,Sree Narayana Nagar,3 BHK,1358.0,3.0,3.0,50.0
1946,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1331.0,2.0,1.0,107.0
1947,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,686.0,1.0,1.0,62.5
1948,Super built-up  Area,Ready To Move,Hoodi,2 BHK,1050.0,2.0,2.0,50.0
1949,Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,2106.0,3.0,2.0,126.0
1950,Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,1718.0,3.0,2.0,90.2
1951,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,2.0,57.0
1952,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206.0,2.0,2.0,56.0
1953,Built-up  Area,Ready To Move,Hebbal,2 BHK,1075.0,2.0,3.0,52.0
1954,Plot  Area,18-Dec,Sarjapur  Road,3 Bedroom,1200.0,3.0,1.0,95.0
1955,Super built-up  Area,18-Dec,Tunganagara,3 BHK,1936.0,2.0,2.0,54.21
1956,Super built-up  Area,Ready To Move,Nagavara,4 BHK,2172.65,3.0,3.0,120.0
1957,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1100.0,2.0,2.0,75.0
1958,Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,1260.0,5.0,1.0,185.0
1959,Plot  Area,Ready To Move,Hongasandra,8 Bedroom,990.0,12.0,0.0,120.0
1960,Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,800.0,2.0,1.0,80.0
1961,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1117.0,2.0,3.0,29.99
1962,Built-up  Area,Ready To Move,Remco Bhel Layout,3 BHK,1685.0,2.0,1.0,110.0
1963,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,740.0,2.0,1.0,37.0
1964,Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,1080.0,4.0,2.0,250.0
1965,Plot  Area,Ready To Move,Magadi Road,4 Bedroom,1500.0,2.0,2.0,93.0
1966,Super built-up  Area,Ready To Move,Banashankari,3 BHK,1800.0,3.0,2.0,115.0
1967,Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1700.0,3.0,2.0,130.0
1968,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,850.0,2.0,2.0,37.93
1969,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891.0,3.0,1.0,139.0
1970,Built-up  Area,Ready To Move,Jalahalli,2 BHK,1400.0,1.0,1.0,80.0
1971,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1172.0,2.0,2.0,82.0
1972,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400.0,2.0,2.0,40.43
1973,Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,896.0,2.0,1.0,43.75
1974,Super built-up  Area,20-Jun,Vijayanagar,2 BHK,1180.0,2.0,2.0,65.0
1975,Plot  Area,Ready To Move,Basaveshwara Nagar,7 Bedroom,2460.0,7.0,1.0,350.0
1976,Built-up  Area,Ready To Move,Chokkasandra,2 BHK,850.0,2.0,1.0,33.0
1977,Super built-up  Area,19-Oct,Anekal,1 BHK,530.0,1.0,1.0,18.0
1978,Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,1550.0,3.0,3.0,110.0
1979,Super built-up  Area,19-Dec,Kanakapura,3 BHK,1699.0,3.0,3.0,97.0
1980,Super built-up  Area,17-Oct,Bellandur,4 BHK,2025.0,4.0,3.0,109.0
1981,Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,500.0,2.0,2.0,14.0
1982,Built-up  Area,Ready To Move,Panduranga Nagar,1 BHK,500.0,1.0,0.0,20.0
1983,Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,1146.0,2.0,1.0,38.5
1984,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2475.0,4.0,3.0,332.0
1985,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1455.0,2.0,1.0,145.0
1986,Plot  Area,Ready To Move,Seegehalli,2 Bedroom,800.0,1.0,0.0,50.0
1987,Super built-up  Area,Ready To Move,Abbigere,1 BHK,765.0,2.0,2.0,30.0
1988,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,94.99
1989,Super built-up  Area,Ready To Move,Gottigere,3 BHK,1600.0,2.0,2.0,55.0
1990,Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,3155.0,4.0,2.0,370.0
1991,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,2900.0,4.0,0.0,240.0
1992,Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,1765.0,3.0,3.0,105.0
1993,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1980.0,3.0,2.0,88.0
1994,Built-up  Area,Ready To Move,Amruthahalli,3 Bedroom,1900.0,3.0,1.0,135.0
1995,Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1265.0,2.0,3.0,70.0
1996,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,1034.0,2.0,3.0,40.0
1997,Built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1012.0,2.0,1.0,59.0
1998,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,54.0
1999,Built-up  Area,Ready To Move,Mahadevpura,4 Bedroom,3555.0,4.0,1.0,230.0
2000,Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,1270.0,2.0,2.0,70.0
2001,Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,585.0,1.0,0.0,70.0
2002,Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,2045.0,4.0,3.0,154.0
2003,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1490.0,2.0,2.0,98.0
2004,Built-up  Area,Ready To Move,Banaswadi,7 Bedroom,6150.0,6.0,1.0,830.0
2005,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,883.0,2.0,1.0,40.0
2006,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,671.0,1.0,1.0,36.85
2007,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1156.0,2.0,2.0,32.0
2008,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,2017.0,3.0,2.0,125.0
2009,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122.0,6.0,2.0,235.0
2010,Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,1635.0,3.0,1.0,62.0
2011,Built-up  Area,Ready To Move,Sir M V Nagar,7 Bedroom,4400.0,9.0,0.0,120.0
2012,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1296.0,2.0,1.0,89.0
2013,Plot  Area,Ready To Move,Bikasipura,6 Bedroom,2400.0,4.0,2.0,280.0
2014,Super built-up  Area,Ready To Move,Budigere,2 BHK,1139.0,2.0,2.0,62.0
2015,Super built-up  Area,18-Aug,CV Raman Nagar,2 BHK,1230.0,3.0,2.0,47.0
2016,Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1 BHK,581.91,2.0,1.0,25.0
2017,Super built-up  Area,19-Dec,Binny Pete,2 BHK,1245.0,2.0,1.0,86.28
2018,Plot  Area,Ready To Move,Sidedahalli,3 Bedroom,1158.0,2.0,2.0,85.0
2019,Built-up  Area,Ready To Move,Marathahalli,4 BHK,3951.0,4.0,2.0,220.0
2020,Super built-up  Area,Ready To Move,Electronic City,2 BHK,550.0,1.0,1.0,15.0
2021,Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,360.0,1.0,1.0,26.0
2022,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1350.0,3.0,1.0,55.0
2023,Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1670.0,3.0,2.0,120.0
2024,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1600.0,2.0,2.0,65.0
2025,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1307.0,2.0,2.0,51.6
2026,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1050.0,2.0,1.0,57.0
2027,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1703.0,3.0,0.0,101.0
2028,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1210.0,2.0,1.0,58.0
2029,Built-up  Area,18-Dec,Electronic City,2 BHK,1025.0,2.0,1.0,29.6
2030,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1343.0,2.0,2.0,56.41
2031,Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1560.0,3.0,2.0,85.0
2032,Super built-up  Area,17-Aug,Kalkere,2 BHK,925.0,2.0,2.0,51.0
2033,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1420.0,2.0,2.0,75.0
2034,Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1415.0,2.0,3.0,110.0
2035,Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,1210.0,2.0,2.0,60.0
2036,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1852.0,3.0,2.0,160.0
2037,Super built-up  Area,Ready To Move,Hoskote,3 BHK,1250.0,3.0,2.0,50.0
2038,Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1100.0,2.0,1.0,65.0
2039,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,1.0,40.25
2040,Super built-up  Area,20-Dec,Jakkur,2 BHK,1100.0,2.0,1.0,53.35
2041,Plot  Area,Ready To Move,Magadi Road,2 Bedroom,1350.0,1.0,0.0,100.0
2042,Super built-up  Area,Ready To Move,Panathur,3 BHK,1546.0,3.0,2.0,99.0
2043,Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1424.0,2.0,2.0,90.0
2044,Built-up  Area,Ready To Move,Bellandur,3 BHK,1398.0,3.0,1.0,68.0
2045,Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,1650.0,3.0,2.0,200.0
